BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point
B2653,ERS,3 AVE & 65 ST,11220,Brooklyn,BK07,38,40.63932033,-74.02354939,POINT (-74.02354939 40.63932033)
Q7917,BARS,WOODSIDE AVE & 69 ST,11377,Queens,QN02,26,40.7426855,-73.89565167,POINT (-73.89565167 40.7426855)
B0801,ERS,MYRTLE AVE & PALMETTO ST,11237,Brooklyn,QN05,34,40.69953211,-73.9110349,POINT (-73.9110349 40.69953211)
B1046,ERS,NEW YORK AVE & LEFFERTS AVE,11225,Brooklyn,BK09,40,40.66253364,-73.94791393,POINT (-73.94791393 40.66253364)
B0109,ERS,RIVER & NORTH 3 STS,11211,Brooklyn,BK01,33,40.71837562,-73.96462115,POINT (-73.96462115 40.71837562)
R2465,BARS,VINCENT AVE & COVERLY ST,10306,Staten Island,SI03,50,40.57084247,-74.12510919,POINT (-74.12510919 40.57084247)
Q3506,ERS,59 AVE & 136 ST,11355,Queens,QN07,20,40.74424412,-73.82953367,POINT (-73.82953367 40.74424412)
Q4382,ERS,WYCKOFF AVE & CENTRE ST,11385,Brooklyn,QN05,37,40.69635031,-73.90540128,POINT (-73.90540128 40.69635031)
Q6353,BARS,MANOR RD & CENTER DR,11363,Queens,QN11,19,40.77632656,-73.75132309,POINT (-73.75132309 40.77632656)
Q4207,ERS,METROPOLITAN AVE & PLEASANTVIEW ST,11379,Queens,QN05,30,40.71245415,-73.88205387,POINT (-73.88205387 40.71245415)
R0639,ERS,NARROWS RD N 1000' W OF FINGERBOARD RD,10305,Staten Island,SI01,49,40.60586273,-74.07242765,POINT (-74.07242765 40.60586273)
X2557,ERS,E 167 ST & STEBBINS ST/POLITE AVE,10459,Bronx,BX02,17,40.82627431,-73.89840604,POINT (-73.89840604 40.82627431)
X4762,ERS,W/S PARK AVE & E 186 ST,10458,Bronx,BX06,15,40.85790201,-73.89341592,POINT (-73.89341592 40.85790201)
B2691,ERS,12 AVE & 59 ST,11219,Brooklyn,BK12,44,40.63075638,-74.00014289,POINT (-74.00014289 40.63075638)
Q7296,BARS,50 AVE & 47 ST,11377,Queens,QN02,26,40.73735689,-73.91890954,POINT (-73.91890954 40.73735689)
M0107,ERS,WEST ST BTW MURRAY ST & WARREN ST,10007,Manhattan,MN01,1,40.71579721,-74.01291703,POINT (-74.01291703 40.71579721)
Q7838,BARS,ROOSEVELT AVE & 88 ST,11372,Queens,QN04,21,40.74822266,-73.87834313,POINT (-73.87834313 40.74822266)
Q3804,BARS,50 AVE & 210 ST,11364,Queens,QN11,23,40.75281186,-73.77003288,POINT (-73.77003288 40.75281186)
B1571,ERS,NOSTRAND AVE & LINDEN BLVD,11226,Brooklyn,BK17,40,40.65264232,-73.94976875,POINT (-73.94976875 40.65264232)
