alarm_box_code,alarm_box_location,latitude,longitude,incident_count,average_response_time
B2653,3 AVE & 65 ST,40.63932033,-74.02354939,71,204.09859154929578
Q7917,WOODSIDE AVE & 69 ST,40.7426855,-73.89565167,14,300.5
B0801,MYRTLE AVE & PALMETTO ST,40.69953211,-73.9110349,179,194.1731843575419
B1046,NEW YORK AVE & LEFFERTS AVE,40.66253364,-73.94791393,76,254.52631578947367
B0109,RIVER & NORTH 3 STS,40.71837562,-73.96462115,2,221.0
R2465,VINCENT AVE & COVERLY ST,40.57084247,-74.12510919,2,270.0
Q3506,59 AVE & 136 ST,40.74424412,-73.82953367,10,413.6
Q4382,WYCKOFF AVE & CENTRE ST,40.69635031,-73.90540128,29,279.17241379310343
Q6353,MANOR RD & CENTER DR,40.77632656,-73.75132309,1,358.0
Q4207,METROPOLITAN AVE & PLEASANTVIEW ST,40.71245415,-73.88205387,22,357.59090909090907
R0639,NARROWS RD N 1000' W OF FINGERBOARD RD,40.60586273,-74.07242765,0,0.0
X2557,E 167 ST & STEBBINS ST/POLITE AVE,40.82627431,-73.89840604,125,302.984
X4762,W/S PARK AVE & E 186 ST,40.85790201,-73.89341592,12,221.66666666666666
B2691,12 AVE & 59 ST,40.63075638,-74.00014289,16,235.9375
Q7296,50 AVE & 47 ST,40.73735689,-73.91890954,11,307.0
M0107,WEST ST BTW MURRAY ST & WARREN ST,40.71579721,-74.01291703,0,0.0
Q7838,ROOSEVELT AVE & 88 ST,40.74822266,-73.87834313,29,370.7241379310345
Q3804,50 AVE & 210 ST,40.75281186,-73.77003288,5,341.8
B1571,NOSTRAND AVE & LINDEN BLVD,40.65264232,-73.94976875,180,296.1388888888889
B1936,STANLEY AVE & BERRIMAN ST,40.66329419,-73.87475187,7,275.42857142857144
Q4014,CYPRESS AVE OPP 78 AVE,40.69515789,-73.89861514,18,310.8333333333333
Q4235,JUNIPER VALLEY RD & 75 ST,40.71548225,-73.87929945,12,334.9166666666667
B1240,4 AVE & ST MARKS PL,40.68185263,-73.9800351,34,281.55882352941177
R0712,JEWETT AVE & EGBERT AVE,40.62454541,-74.13191628,6,266.5
B3934,HERKIMER ST & JARDINE PL,40.6772081,-73.90513693,88,256.78409090909093
Q6253,5 AVE & 149 ST,40.79564319,-73.81900063,8,260.25
R0741,FOREST AVE & LIVERMORE AVE,40.6242952,-74.13722714,21,302.7142857142857
Q9445,UNION TPK & 141 ST,40.7172806,-73.81932997,12,282.0
B3661,GOTHAM AVE & SHELL BANK CREEK,40.58904772,-73.92842812,3,258.3333333333333
Q4742,24 AVE & 201 ST,40.77589957,-73.79089093,3,395.6666666666667
M1221,1 AVE & E 94 ST,40.78194718,-73.94566982,147,428.6258503401361
R2798,RICHMOND AVE & ROCKLAND AVE,40.59529877,-74.16189941,15,323.46666666666664
M1504,5 AVE & E 128 ST,40.80833427,-73.94086063,60,342.0
B1843,GLENMORE AVE & PINE ST,40.67680551,-73.87130777,23,245.56521739130434
Q7934,45 AVE & 81 ST,40.74150481,-73.88387597,63,333.41269841269843
