fire_co_num,fire_bn,fire_co_type,fire_div,company_name,response_times,incident_count,date
10,1,E,1,Engine 10,333.35714285714283,42,2018-4
14,6,E,1,Engine 14,294.3636363636364,22,2018-4
15,4,E,1,Engine 15,303.9347826086956,138,2018-4
159,21,E,8,Engine 159,323.1521739130435,46,2018-4
206,28,E,11,Engine 206,298.0576923076923,52,2018-4
211,31,E,11,Engine 211,237.77777777777777,54,2018-4
214,37,E,15,Engine 214,203.15151515151516,66,2018-4
216,35,E,11,Engine 216,326.27272727272725,88,2018-4
217,57,E,11,Engine 217,236.63,100,2018-4
218,28,E,11,Engine 218,244.0,13,2018-4
219,57,E,11,Engine 219,267.5726495726496,117,2018-4
220,48,E,11,Engine 220,298.64179104477614,67,2018-4
222,37,E,15,Engine 222,222.92079207920793,101,2018-4
225,39,E,15,Engine 225,305.64957264957263,117,2018-4
227,44,E,15,Engine 227,218.21052631578948,19,2018-4
235,57,E,11,Engine 235,213.97752808988764,89,2018-4
228,40,E,8,Engine 228,238.7906976744186,43,2018-4
229,35,E,11,Engine 229,308.20754716981133,53,2018-4
23,9,E,3,Engine 23,389.3611111111111,36,2018-4
231,44,E,15,Engine 231,281.7755102040816,196,2018-4
237,28,E,11,Engine 237,309.0,29,2018-4
238,28,E,11,Engine 238,295.4583333333333,24,2018-4
240,48,E,11,Engine 240,263.78409090909093,88,2018-4
246,43,E,8,Engine 246,285.75,44,2018-4
248,41,E,15,Engine 248,265.1219512195122,82,2018-4
249,38,E,15,Engine 249,290.348623853211,109,2018-4
253,43,E,8,Engine 253,360.0,9,2018-4
257,58,E,15,Engine 257,284.4714285714286,70,2018-4
277,37,E,15,Engine 277,215.3,10,2018-4
258,45,E,14,Engine 258,367.4375,112,2018-4
271,28,E,11,Engine 271,265.52542372881356,59,2018-4
273,52,E,14,Engine 273,292.9468085106383,94,2018-4
275,50,E,13,Engine 275,276.7583333333333,120,2018-4
282,48,E,11,Engine 282,255.8840579710145,69,2018-4
283,58,E,15,Engine 283,278.8032786885246,61,2018-4
285,51,E,13,Engine 285,265.64285714285717,42,2018-4
291,45,E,14,Engine 291,276.3255813953488,43,2018-4
294,51,E,13,Engine 294,278.9583333333333,24,2018-4
42,19,E,7,Engine 42,337.85135135135135,74,2018-4
298,50,E,13,Engine 298,275.4642857142857,112,2018-4
304,53,E,14,Engine 304,289.65,60,2018-4
308,51,E,13,Engine 308,314.4166666666667,12,2018-4
310,58,E,15,Engine 310,306.188679245283,53,2018-4
311,54,E,13,Engine 311,279.8378378378378,37,2018-4
325,49,E,14,Engine 325,307.0655737704918,61,2018-4
332,44,E,15,Engine 332,301.40909090909093,66,2018-4
38,15,E,7,Engine 38,325.3611111111111,72,2018-4
113,38,L,15,Ladder 113,319.81021897810217,137,2018-4
43,19,E,7,Engine 43,312.56716417910445,67,2018-4
46,17,E,6,Engine 46,303.05454545454546,55,2018-4
48,18,E,7,Engine 48,294.4,125,2018-4
55,2,E,1,Engine 55,301.57971014492756,69,2018-4
115,45,L,14,Ladder 115,349.04761904761904,84,2018-4
59,16,E,6,Engine 59,323.4793388429752,121,2018-4
60,14,E,6,Engine 60,298.1,110,2018-4
62,27,E,7,Engine 62,348.08235294117645,85,2018-4
65,8,E,3,Engine 65,435.7037037037037,27,2018-4
67,13,E,7,Engine 67,303.646017699115,113,2018-4
68,17,E,6,Engine 68,347.20212765957444,94,2018-4
74,11,E,3,Engine 74,308.8041237113402,97,2018-4
7,1,E,1,Engine 7,306.5081967213115,61,2018-4
70,20,E,7,Engine 70,0.0,0,2018-4
75,19,E,7,Engine 75,333.1929824561403,57,2018-4
79,27,E,7,Engine 79,352.16438356164383,73,2018-4
83,14,E,6,Engine 83,301.2700729927007,137,2018-4
112,37,L,15,Ladder 112,217.88888888888889,27,2018-4
88,18,E,7,Engine 88,270.41269841269843,63,2018-4
9,4,E,1,Engine 9,315.6090909090909,110,2018-4
92,17,E,6,Engine 92,349.94444444444446,126,2018-4
1,1,L,1,Ladder 1,327.19444444444446,36,2018-4
10,1,L,1,Ladder 10,349.7916666666667,48,2018-4
103,39,L,15,Ladder 103,283.1304347826087,115,2018-4
108,35,L,11,Ladder 108,296.82142857142856,112,2018-4
11,4,L,1,Ladder 11,331.94300518134713,193,2018-4
111,37,L,15,Ladder 111,204.89285714285714,28,2018-4
118,32,L,11,Ladder 118,257.76666666666665,30,2018-4
12,7,L,1,Ladder 12,263.22222222222223,18,2018-4
120,44,L,15,Ladder 120,228.70238095238096,84,2018-4
122,48,L,11,Ladder 122,276.655737704918,61,2018-4
123,38,L,15,Ladder 123,265.71844660194176,103,2018-4
124,28,L,11,Ladder 124,212.5,78,2018-4
135,51,L,13,Ladder 135,299.8936170212766,47,2018-4
14,12,L,3,Ladder 14,309.9,150,2018-4
140,45,L,14,Ladder 140,277.25,44,2018-4
142,51,L,13,Ladder 142,322.0952380952381,21,2018-4
143,51,L,13,Ladder 143,320.3258426966292,89,2018-4
147,41,L,15,Ladder 147,313.3170731707317,164,2018-4
148,48,L,11,Ladder 148,292.4651162790698,43,2018-4
15,1,L,1,Ladder 15,361.015625,64,2018-4
25,11,L,3,Ladder 25,279.012987012987,77,2018-4
156,33,L,15,Ladder 156,289.625,16,2018-4
158,54,L,13,Ladder 158,377.125,16,2018-4
160,53,L,14,Ladder 160,395.672131147541,61,2018-4
27,17,L,6,Ladder 27,270.1818181818182,11,2018-4
164,53,L,14,Ladder 164,309.6666666666667,33,2018-4
174,58,L,15,Ladder 174,290.48979591836735,49,2018-4
176,44,L,15,Ladder 176,293.4166666666667,120,2018-4
18,4,L,1,Ladder 18,320.6508620689655,232,2018-4
20,2,L,1,Ladder 20,273.54901960784315,102,2018-4
